school_id,school_name,postcode,borough,school_type
143212,Queen's Manor School and Special Needs Unit,SW6 6ND,Hammersmith and Fulham,Primary
143213,Fulham Primary School,SW6 1JU,Hammersmith and Fulham,Primary
143214,Sulivan Primary School,SW6 3BN,Hammersmith and Fulham,Primary
143274,Forest Gate Community School,E7 9BB,Newham,Secondary
143276,Gainsborough Primary School,E15 3AF,Newham,Primary
143277,Kaizen Primary School,E13 8LF,Newham,Primary
143629,Mulberry School for Girls,E1 2JP,Tower Hamlets,Secondary
143659,"City of London Academy, Highgate Hill",N19 3EU,Islington,Secondary
143668,Royal Wharf Primary School,E16 2ZA,Newham,Primary
143716,Mulberry Academy London Dock,E1W 2AD,Tower Hamlets,Secondary
143739,Anglo Portuguese School of London,SW18 4QG,Wandsworth,Primary
143756,"City of London Academy, Shoreditch Park",N1 5JU,Hackney,Secondary
143881,Tollgate Primary School,E13 8SA,Newham,Primary
143882,Cleves Primary School,E6 1QP,Newham,Primary
143883,Drew Primary School,E16 2DP,Newham,Primary
144139,Ranelagh Primary School,E15 3DN,Newham,Primary
144140,Ravenscroft Primary School,E16 4BD,Newham,Primary
144141,Kensington Primary School,E12 6NN,Newham,Primary
144142,Curwen Primary School,E13 0AG,Newham,Primary
144235,Stebon Primary School,E14 7AD,Tower Hamlets,Primary
144236,Bygrove Primary School,E14 6DN,Tower Hamlets,Primary
144308,Rosendale Primary School,SE21 8LR,Lambeth,Primary
144309,The Elmgreen School,SE27 9BZ,Lambeth,Secondary
144527,Britannia Village Primary School,E16 2AW,Newham,Primary
144621,Belleville Wix Academy,SW4 0AJ,Wandsworth,Primary
144699,The Clara Grant Primary School,E3 4BU,Tower Hamlets,Primary
144700,Mulberry Stepney Green Mathematics and Computing College,E1 4SD,Tower Hamlets,Secondary
144756,Mulberry UTC,E3 2RU,Tower Hamlets,Secondary
144900,Duke's Aldridge,N17 0PG,Haringey,Secondary
144962,City of London Academy Highbury Grove,N5 2EQ,Islington,Secondary
145030,The Alton School,SW15 4PD,Wandsworth,Primary
145060,Griffin Primary School,SW8 4JB,Wandsworth,Primary
145087,Rosetta Primary School,E16 3PB,Newham,Primary
145088,Earlham Primary School,E7 9AW,Newham,Primary
145113,Cumberland Community School,E13 8SJ,Newham,Secondary
145126,Harris Academy St John's Wood,NW8 0NL,Westminster,Secondary
145130,Goose Green Primary and Nursery School,SE22 8HG,Southwark,Primary
145235,Monega Primary School,E12 6TT,Newham,Primary
145280,Chesterton Primary School,SW11 5DT,Wandsworth,Primary
145313,Bacon's College,SE16 6AT,Southwark,Secondary
145362,Elmhurst Primary School,E7 8JY,Newham,Primary
145363,Hallsville Primary School,E16 1LN,Newham,Primary
